asset_id,asset_type,region,lat,lon,install_year,customers_served,criticality_tier
ASSET-D61812A4,transformer,Central,46.35445,-85.01678,2000,41692,1
ASSET-78350D21,breaker,North,42.59473,-76.26781,2006,49332,1
ASSET-864C4C06,substation,Central,34.78566,-97.46665,2005,13500,2
ASSET-1105D663,substation,North,47.44517,-113.52461,1980,13786,3
ASSET-5D68099D,substation,West,44.01752,-119.37287,2008,10434,3
ASSET-211BC981,breaker,West,42.90402,-109.66548,1996,45240,3
ASSET-880675E1,transformer,West,38.08851,-114.068,1988,727,2
ASSET-B5281626,breaker,West,34.90035,-89.50536,1996,45837,1
ASSET-DFCB5FFB,transformer,East,31.73504,-114.51754,2014,38127,2
ASSET-CF849136,transformer,West,46.24684,-97.21515,2010,37332,3
ASSET-C21FC383,substation,South,38.20397,-88.75819,2009,54374,1
ASSET-6137DA7F,breaker,West,33.64254,-93.84975,1993,41858,3
ASSET-4401252C,breaker,East,35.50722,-111.0101,2007,58247,3
ASSET-9979D72F,breaker,East,40.42595,-83.8144,1990,61138,1
ASSET-55D4E8AA,breaker,East,33.18191,-87.80668,2003,73618,3
ASSET-F0F5BD9D,breaker,East,45.41906,-86.74572,2001,63960,3
ASSET-8C3D360E,substation,North,43.65335,-114.1024,1985,41465,1
ASSET-683C9A62,transformer,North,42.95033,-114.43108,1985,39423,1
ASSET-B74C9C36,breaker,South,37.77767,-78.25969,1977,18933,2
ASSET-DDC4D1AD,substation,North,41.29156,-102.10898,1980,48008,3
ASSET-44CA9BF7,substation,East,40.51376,-106.45731,1992,11217,1
ASSET-68526D9E,substation,West,41.69724,-98.01372,1994,74506,2
ASSET-2176095D,transformer,West,31.52,-90.17111,1981,67619,1
ASSET-A58263D8,breaker,East,37.48453,-76.99695,1992,9666,2
ASSET-ECDCA889,breaker,Central,30.74906,-107.10992,1999,62898,2
ASSET-0F8BB941,substation,East,38.89183,-78.38362,1984,9456,1
ASSET-C8B94FA2,substation,North,35.9375,-118.88132,1988,57726,3
ASSET-36089635,breaker,West,32.60144,-95.01609,1990,7108,3
ASSET-06FB6498,substation,East,31.86125,-91.47112,1995,39107,3
ASSET-9A0AA3DC,substation,West,40.5776,-115.23462,1990,52663,1
ASSET-BF9793CE,substation,East,33.07067,-113.68472,2005,58332,1
ASSET-6F1E5C7D,transformer,East,46.65216,-101.13986,1988,33547,1
ASSET-7164771A,transformer,North,40.4591,-76.51956,1992,73738,2
ASSET-16A4F252,substation,East,36.24366,-93.17809,1990,61969,1
ASSET-94F0EE40,breaker,West,40.63648,-78.01396,1982,16740,3
ASSET-07AB27B8,transformer,South,30.41047,-83.80376,2003,53732,3
ASSET-34F37036,breaker,West,47.25407,-98.96783,1984,58470,3
ASSET-E7DEFA84,breaker,North,38.68146,-84.68564,1987,26757,1
ASSET-F3ED6E72,transformer,South,44.08923,-119.19734,2007,59085,1
ASSET-18E25628,substation,East,31.48914,-115.08852,2013,71880,3
ASSET-8E0299D9,transformer,Central,38.75985,-82.67571,2002,65388,1
ASSET-20ED689C,breaker,South,38.83273,-84.14323,2012,61027,2
ASSET-5CC56CAD,breaker,South,46.88088,-109.53117,2010,50796,3
ASSET-162A721F,substation,East,40.2911,-96.11537,1994,21716,1
ASSET-763FEDF5,transformer,Central,38.52281,-92.72929,2006,63639,1
ASSET-87700E7F,breaker,Central,34.80556,-80.95175,1988,29199,1
ASSET-AA3C16A1,substation,North,35.96824,-92.86018,1993,42623,1
ASSET-E084BC03,breaker,South,39.3721,-101.43428,1996,25224,1
ASSET-E257FA61,breaker,Central,37.90041,-103.16172,2014,25110,3
ASSET-12823B19,breaker,North,30.38902,-100.83531,2009,12693,2
ASSET-112546F8,breaker,Central,44.87325,-90.6631,1995,76908,3
ASSET-0FE82CEA,transformer,South,46.13089,-80.96292,2001,11908,3
ASSET-319763CB,substation,Central,32.52448,-99.57464,1983,6992,3
ASSET-26C5757A,substation,South,39.97265,-108.84722,2007,74897,1
ASSET-0A4C51D9,substation,East,31.95436,-109.35019,1997,44446,1
ASSET-0F774BE3,transformer,West,42.10032,-86.42936,1996,35088,3
ASSET-3FBDD3C4,substation,North,35.06221,-83.25441,2006,59026,1
ASSET-7FD52F8C,transformer,East,41.86961,-115.26249,2000,30727,1
ASSET-C7336A8D,breaker,East,43.0859,-117.00485,1977,10321,3
ASSET-D448F521,breaker,West,43.83565,-93.25049,1986,58402,3
ASSET-3B050005,breaker,Central,31.93934,-113.4222,1982,14162,3
ASSET-8B0398CF,breaker,West,46.48821,-82.89011,2005,44284,3
ASSET-6E2D379B,substation,East,34.14385,-106.03494,1976,75931,1
ASSET-473EA58F,breaker,East,30.67343,-113.52576,1983,74898,3
ASSET-F7924A3F,substation,East,39.98734,-78.55633,1999,28926,3
ASSET-77D5C85D,transformer,Central,36.6766,-112.55107,2003,62446,3
ASSET-CF851820,breaker,South,44.93622,-107.1876,1995,49053,3
ASSET-92465059,substation,North,44.54853,-113.0874,2010,38402,3
ASSET-845FD0E8,transformer,South,35.7085,-114.80295,2012,11280,2
ASSET-474435F5,substation,North,47.15219,-119.04834,1980,30171,1
ASSET-78AF76D1,breaker,North,35.23652,-117.50721,2014,52188,2
ASSET-FAD59EAD,transformer,North,39.27103,-112.14113,2000,78932,1
ASSET-01E638F1,substation,West,34.60737,-117.59781,2001,490,1
ASSET-D5F9FECD,transformer,West,46.84878,-93.39853,1978,57449,1
ASSET-EF17B91F,breaker,West,32.96294,-89.36785,2000,67723,3
ASSET-5BC21A9B,substation,East,30.80839,-102.28663,2004,76101,2
ASSET-069F46C6,transformer,West,37.83175,-105.6904,1998,33962,2
ASSET-59856CF7,transformer,North,47.86276,-97.29632,1978,9566,3
ASSET-7195D082,substation,Central,46.05019,-80.62478,1996,21750,2
ASSET-4A48FA35,breaker,East,43.47494,-81.69908,2013,68058,2
ASSET-79E1C647,breaker,Central,46.03426,-118.04362,2004,70247,1
ASSET-F4638D74,substation,North,46.08204,-111.83257,1980,51002,3
ASSET-FB3B8C4E,transformer,East,39.33945,-109.34648,2014,9907,2
ASSET-2D802F83,breaker,West,35.68672,-108.77756,2014,9841,1
ASSET-B3F06D09,substation,East,43.89622,-94.29453,1981,38306,3
ASSET-A6645E6C,breaker,East,41.9099,-101.26819,2007,47102,3
ASSET-9F1C3B2A,transformer,North,36.72584,-117.78356,1991,2687,1
ASSET-40011DDA,transformer,South,31.7004,-103.18736,1999,54919,1
ASSET-2C17B8B6,breaker,South,43.44221,-96.43112,1993,43606,1
ASSET-6A321EFA,breaker,South,34.72429,-115.42476,2007,1082,1
ASSET-2218C9F4,substation,West,46.86264,-82.49437,2015,7744,1
ASSET-E76BDD1C,breaker,West,34.33747,-117.66172,2007,36400,3
ASSET-D99505FB,breaker,West,32.20964,-78.38212,2013,57835,2
ASSET-2C606B72,substation,South,44.96003,-115.53991,2013,66050,3
ASSET-1C2E1D91,breaker,Central,32.75912,-82.03913,1978,34561,3
ASSET-4A7621B8,transformer,North,33.22683,-79.38061,1985,23699,2
ASSET-F7DAB472,transformer,South,40.78889,-75.91932,2004,77468,2
ASSET-5DF40224,breaker,North,45.74212,-83.90884,1999,36738,1
ASSET-D57F2A87,substation,South,33.53582,-84.92351,1977,25299,1
ASSET-28FBE952,transformer,Central,35.58583,-91.08825,1978,35441,2
