incident_id,asset_id,date,cause,duration_hours,customers_affected
INC-34D79FAB,ASSET-DFCB5FFB,2026-05-22,weather_damage,16.72,4783
INC-F670147F,ASSET-59856CF7,2026-07-04,thermal_overload,48.39,838
INC-B406BF42,ASSET-77D5C85D,2026-04-19,insulation_failure,31.76,7662
INC-F451842A,ASSET-162A721F,2026-06-08,mechanical_fault,60.04,5767
INC-B2BFC118,ASSET-162A721F,2026-06-27,mechanical_fault,50.57,6366
INC-E0A9AD36,ASSET-A6645E6C,2026-06-25,thermal_overload,22.83,5676
INC-C8461215,ASSET-DFCB5FFB,2026-08-05,mechanical_fault,60.01,5558
INC-246D02BC,ASSET-474435F5,2026-08-29,thermal_overload,58.04,951
INC-5ECE8813,ASSET-44CA9BF7,2026-06-07,weather_damage,28.2,5614
INC-54F48245,ASSET-CF849136,2026-04-08,weather_damage,21.12,7960
INC-C9A4A19A,ASSET-319763CB,2026-09-03,age_degradation,49.3,3074
INC-E18FFAA8,ASSET-5DF40224,2026-04-13,weather_damage,10.49,6048
INC-36F28160,ASSET-D5F9FECD,2026-04-19,insulation_failure,14.79,356
INC-E2F51EB2,ASSET-069F46C6,2026-07-27,age_degradation,1.03,3507
INC-D1EC6E33,ASSET-FAD59EAD,2026-05-24,mechanical_fault,56.77,4395
INC-5675FD1A,ASSET-7195D082,2026-08-16,insulation_failure,48.04,9829
INC-682EA119,ASSET-0FE82CEA,2026-05-01,age_degradation,50.92,2185
INC-B4BDAA44,ASSET-4401252C,2026-05-11,insulation_failure,56.32,2801
INC-AC41D5E7,ASSET-2D802F83,2026-07-13,thermal_overload,33.31,4115
INC-5C1086E3,ASSET-87700E7F,2026-09-02,mechanical_fault,41.16,9928
INC-6D0987DA,ASSET-112546F8,2026-03-24,weather_damage,10.5,8542
INC-64AF990A,ASSET-E7DEFA84,2026-06-26,thermal_overload,8.69,395
INC-CD8D0580,ASSET-B74C9C36,2026-04-07,mechanical_fault,48.29,2377
INC-9A4B99BF,ASSET-D99505FB,2026-05-15,thermal_overload,34.18,8226
INC-AE035A6D,ASSET-7195D082,2026-04-27,weather_damage,40.91,630
