region,date,temperature_max,precipitation_sum,windspeed_max
North,2026-03-15,7.2,0.1,7.5
North,2026-03-16,12.2,6.0,18.2
North,2026-03-17,12.9,14.5,28.7
North,2026-03-18,14.6,21.9,20.7
North,2026-03-19,13.4,7.7,24.5
North,2026-03-20,14.4,20.5,26.2
North,2026-03-21,13.5,0.0,23.6
North,2026-03-22,9.4,0.0,15.4
North,2026-03-23,9.3,0.0,15.9
North,2026-03-24,12.5,25.6,34.4
North,2026-03-25,12.8,3.9,31.5
North,2026-03-26,11.2,0.0,12.1
North,2026-03-27,12.6,0.0,15.4
North,2026-03-28,12.8,0.0,15.2
North,2026-03-29,10.8,3.4,16.6
North,2026-03-30,9.1,2.2,16.8
North,2026-03-31,12.4,0.0,14.3
North,2026-04-01,12.4,16.6,14.8
North,2026-04-02,13.3,3.6,24.5
North,2026-04-03,12.9,0.0,23.2
North,2026-04-04,14.8,0.0,16.4
North,2026-04-05,15.5,0.0,15.4
North,2026-04-06,19.1,0.0,11.0
North,2026-04-07,18.0,0.0,14.1
North,2026-04-08,13.7,0.0,12.0
North,2026-04-09,15.4,0.0,14.5
North,2026-04-10,18.6,0.2,12.5
North,2026-04-11,18.0,5.0,14.1
North,2026-04-12,15.0,0.0,9.6
North,2026-04-13,13.8,3.8,17.4
North,2026-04-14,11.7,9.8,31.9
North,2026-04-15,8.9,17.8,31.0
North,2026-04-16,12.3,4.6,12.0
North,2026-04-17,12.4,0.0,8.3
North,2026-04-18,18.0,0.0,8.9
North,2026-04-19,18.6,0.0,14.0
North,2026-04-20,18.8,0.0,13.4
North,2026-04-21,18.9,0.5,12.4
North,2026-04-22,16.1,13.7,17.1
North,2026-04-23,14.2,0.0,19.5
North,2026-04-24,15.8,0.0,18.0
North,2026-04-25,16.7,0.0,17.1
North,2026-04-26,18.3,0.0,13.3
North,2026-04-27,18.5,0.5,17.8
North,2026-04-28,14.0,0.9,15.8
North,2026-04-29,16.6,0.0,15.8
North,2026-04-30,21.4,0.0,12.6
North,2026-05-01,20.9,0.0,12.6
North,2026-05-02,20.7,0.1,20.5
North,2026-05-03,24.2,0.0,18.9
North,2026-05-04,26.6,0.0,14.9
North,2026-05-05,26.6,0.1,15.1
North,2026-05-06,20.1,0.2,15.3
North,2026-05-07,17.8,0.0,14.9
North,2026-05-08,18.1,0.0,20.2
North,2026-05-09,20.5,0.0,16.9
North,2026-05-10,19.7,0.0,13.4
North,2026-05-11,20.9,0.0,16.7
North,2026-05-12,27.1,0.0,17.1
North,2026-05-13,27.2,6.4,25.2
North,2026-05-14,16.2,0.0,34.6
North,2026-05-15,14.8,7.6,26.3
North,2026-05-16,13.8,3.5,23.0
North,2026-05-17,15.9,2.6,9.3
North,2026-05-18,17.5,0.0,8.0
North,2026-05-19,18.1,0.0,12.1
North,2026-05-20,18.3,0.1,11.9
North,2026-05-21,21.4,0.0,11.9
North,2026-05-22,23.6,0.0,14.7
North,2026-05-23,24.3,0.0,17.7
North,2026-05-24,21.0,0.0,15.1
North,2026-05-25,22.5,2.2,18.1
North,2026-05-26,15.9,4.0,13.7
North,2026-05-27,20.6,0.0,15.5
North,2026-05-28,25.8,0.0,13.9
North,2026-05-29,26.8,7.8,19.7
North,2026-05-30,16.5,0.3,12.9
North,2026-05-31,18.1,0.0,15.3
North,2026-06-01,22.0,0.0,14.8
North,2026-06-02,27.4,0.0,12.9
North,2026-06-03,28.4,0.0,20.6
North,2026-06-04,21.3,0.1,23.4
North,2026-06-05,19.1,0.7,23.5
North,2026-06-06,16.6,3.2,21.4
North,2026-06-07,17.5,0.6,13.4
North,2026-06-08,17.7,3.3,13.0
North,2026-06-09,16.5,19.0,31.4
North,2026-06-10,18.3,0.1,28.8
North,2026-06-11,20.4,0.0,12.9
